Designator,Mid X,Mid Y,Rotation,Layer
C1,173.66,-72.16,45.0,top
C10,171.9,-83.53,270.0,top
C11,167.17,-70.45,90.0,top
C12,171.22,-71.45,90.0,top
C13,183.19,-58.34,90.0,top
C14,174.0,-63.6,180.0,top
C15,165.5375,-64.4,0.0,top
C16,163.73,-86.23,270.0,top
C17,170.84,-86.99,270.0,top
C18,163.93,-93.17,0.0,top
C19,155.6,-58.9,270.0,top
C2,170.4,-83.1,0.0,top
C20,171.54,-62.55,90.0,top
C21,179.1,-54.4,0.0,top
C22,184.96,-126.28,270.0,top
C23,150.33,-134.08,180.0,top
C24,180.28,-77.57,270.0,top
C25,150.02,-94.28,180.0,top
C3,172.2,-72.22,90.0,top
C4,172.71,-73.65,0.0,top
C5,163.3,-73.6,180.0,top
C6,162.01,-77.91,180.0,top
C7,167.18,-68.5,90.0,top
C8,167.43,-66.18,315.0,top
C9,173.7,-78.0,0.0,top
D1,177.39,-65.32,0.0,top
D10,162.8,-139.025,270.0,top
D11,170.8,-139.025,270.0,top
D12,178.8,-139.025,270.0,top
D13,162.8,-144.0,270.0,top
D14,170.8,-144.025,270.0,top
D15,178.8,-144.025,270.0,top
D16,184.81,-54.84,0.0,top
D17,159.935,-56.29,0.0,top
D18,149.46,-71.31,0.0,top
D19,149.11,-91.07,0.0,top
D2,175.7,-72.1,270.0,top
D20,158.3,-92.63,0.0,top
D21,184.855,-77.91,0.0,top
D22,184.8,-94.77,0.0,top
D23,183.9,-132.98,0.0,top
D24,183.93,-140.87,0.0,top
D25,151.825,-138.5,0.0,top
D3,148.7,-83.725,270.0,top
D4,162.8,-129.0,270.0,top
D5,170.8,-129.0,270.0,top
D6,178.8,-129.0,270.0,top
D7,162.8,-134.0,270.0,top
D8,170.8,-134.0,270.0,top
D9,178.8,-134.025,270.0,top
J1,167.7,-55.7,180.0,top
J2,183.63,-69.33,90.0,top
J3,149.0,-110.43,0.0,top
J4,185.0,-110.57,180.0,top
J5,185.2,-88.54,0.0,top
Q1,150.5625,-74.55,0.0,top
R1,168.4,-70.4125,270.0,top
R10,154.8,-66.4,270.0,top
R11,168.45,-83.1,180.0,top
R12,177.5,-63.6,180.0,top
R13,167.33,-92.54,0.0,top
R14,171.17,-91.99,180.0,top
R15,151.17,-61.43,0.0,top
R16,156.13,-61.35,180.0,top
R17,176.5,-74.7,0.0,top
R18,154.2,-75.7,180.0,top
R19,185.79,-57.9,90.0,top
R2,170.0,-70.4125,90.0,top
R3,169.74,-62.35,270.0,top
R4,164.94,-61.35,0.0,top
R5,178.5,-71.6,270.0,top
R6,177.5,-69.1,0.0,top
R7,170.92,-66.84,270.0,top
R8,173.32,-68.28,0.0,top
R9,153.2,-69.4,180.0,top
SW1,151.3,-66.3,0.0,top
SW10,174.9,-140.5,0.0,top
SW11,158.8,-145.5,0.0,top
SW12,166.8,-145.5,0.0,top
SW13,174.9,-145.5,0.0,top
SW14,164.36,-90.08,0.0,top
SW15,152.9,-126.4,180.0,top
SW2,158.62,-130.45,0.0,top
SW3,166.7,-130.5,0.0,top
SW4,174.9,-130.5,0.0,top
SW5,158.7,-135.5,0.0,top
SW6,166.7,-135.5,0.0,top
SW7,174.9,-135.5,0.0,top
SW8,158.8,-140.5,0.0,top
SW9,166.8,-140.5,0.0,top
U1,168.0,-77.09,90.0,top
U2,178.0,-59.2,180.0,top
U3,160.93,-67.6625,270.0,top
U4,167.09,-95.41,0.0,top
U5,173.0,-66.25,0.0,top
U7,154.9,-84.0,0.0,top
U8,152.8,-57.64,0.0,top
Y1,167.26,-85.9,180.0,top
